党,トウ・なかま・むら,party; faction; clique
患,カン・わずら.う,afflicted; disease; suffer from; be ill
層,ソウ,stratum; social class; layer; story; floor
版,ハン,printing block; printing plate; edition; impression; label
令,レイ,orders; ancient laws; command; decree
角,カク・かど・つの,angle; corner; square; horn; antlers
絡,ラク・から.む・から.まる,entwine; coil around; get caught in
損,ソン・そこ.なう・そこな.う・~そこ.なう・そこ.ねる・~そこ.ねる,damage; loss; disadvantage; hurt; injure
募,ボ・つの.る,recruit; campaign; gather (contributions); enlist; grow violent
裏,リ・うら,back; amidst; in; reverse; inside; palm; sole; rear; lining; wrong side
仏,ブツ・フツ・ほとけ,Buddha; the dead; France
績,セキ,exploits; achievements; unreeling cocoons
築,チク・きず.く,fabricate; build; construct
貨,カ・たから,freight; goods; property
混,コン・ま.じる・~ま.じり・ま.ざる・ま.ぜる・こ.む,mix; blend; confuse
昇,ショウ・のぼ.る,rise up
池,チ・いけ,pond; cistern; pool; reservoir
血,ケツ・ち,blood
温,オン・あたた.か・あたた.かい・あたた.まる・あたた.める・ぬく,warm
季,キ,seasons
星,セイ・ショウ・ほし・~ぼし,star; spot; dot; mark
永,エイ・なが.い,eternity; long; lengthy
著,チョ・チャク・あらわ.す・いちじる.しい,renowned; publish; write; remarkable; phenomenal; put on; don; wear; arrival; finish (race); counter for suits of clothing; literary work
誌,シ,document; records
庫,コ・ク・くら,warehouse; storehouse
刊,カン,publish; carve; engrave
像,ゾウ,statue; picture; image; figure; portrait
香,コウ・キョウ・か・かお.り・かお.る,incense; smell; perfume
坂,ハン・さか,slope; incline; hill
底,テイ・そこ,bottom; sole; depth; bottom price; base; kind; sort
布,フ・ぬの,linen; cloth; spread; distribute
寺,ジ・てら,Buddhist temple
宇,ウ,eaves; roof; house; heaven
巨,キョ,gigantic; big; large; great
震,シン・ふる.う・ふる.える,quake; shake; tremble; quiver; shiver
希,キ・ケ・まれ,hope; beg; request; pray; beseech; Greece; dilute (acid); rare; few; phenomenal
触,ショク・ふ.れる・さわ.る・さわ,contact; touch; feel; hit; proclaim; announce; conflict
依,イ・エ・よ.る,reliant; depend on; consequently; therefore; due to
籍,セキ,enroll; domiciliary register; membership
汚,オ・けが.す・けが.れる・けが.らわしい・よご.す・よご.れる・きたな.い,dirty; pollute; disgrace; rape; defile
枚,マイ・バイ,sheet of...; counter for flat thin objects or sheets
複,フク,duplicate; double; compound; multiple
郵,ユウ,mail; stagecoach stop
仲,チュウ・なか,go-between; relationship
栄,エイ・ヨウ・さか.える・は.え・~ば.え・は.える・え,flourish; prosperity; honor; glory; splendor
札,サツ・ふだ,tag; paper money; counter for bonds; placard; bid
板,ハン・バン・いた,plank; board; plate; stage
骨,コツ・ほね,skeleton; bone; remains; frame
傾,ケイ・かたむ.く・かたむ.ける・かたぶ.く・かた.げる・かし.げる,lean; incline; tilt; trend; wane; sink; ruin; bias
