夢,ム・ボウ・ゆめ・ゆめ.みる・くら.い,dream; vision; illusion
慣,カン・な.れる・な.らす,accustomed; get used to; become experienced
貧,ヒン・ビン・まず.しい,poverty; poor
祖,ソ,ancestor; pioneer; founder
権,ケン・ゴン・おもり・かり・はか.る,authority; power; rights
済,サイ・セイ・す.む・~ず.み・~ずみ・す.まない・す.ます・~す.ます・すく.う・な.す・わたし・わた.る,"settle (debt, etc.); relieve (burden); finish; come to an end; excusable; need not"
認,ニン・みと.める・したた.める,acknowledge; witness; discern; recognize; appreciate; believe
論,ロン,argument; discourse
石,セキ・シャク・コク・いし,stone
王,オウ・~ノウ,king; rule; magnate
草,ソウ・くさ・くさ~・~ぐさ,grass; weeds; herbs; pasture; write; draft
耳,ジ・みみ,ear
合,ゴウ・ガッ・カッ・あ.う・~あ.う・あ.い・あい~・~あ.い・~あい・あ.わす・あ.わせる・~あ.わせる,fit; suit; join; 0.1
市,シ・いち,market; city; town
内,ナイ・ダイ・うち,inside; within; between; among; house; home
回,カイ・エ・まわ.る・~まわ.る・~まわ.り・まわ.す・~まわ.す・まわ.し~・~まわ.し・もとお.る・か.える,-times; round; game; revolve; counter for occurrences
米,ベイ・マイ・メエトル・こめ・よね,rice; USA; metre
当,トウ・あ.たる・あ.たり・あ.てる・あ.て・まさ.に・まさ.にべし,hit; right; appropriate; himself
首,シュ・くび,neck; counter for songs and poems
数,スウ・ス・サク・ソク・シュ・かず・かぞ.える・しばしば・せ.める・わずらわ.しい,number; strength; fate; law; figures
記,キ・しる.す,scribe; account; narrative
点,テン・つ.ける・つ.く・た.てる・さ.す・とぼ.す・とも.す・ぼち,spot; point; mark; speck; decimal point
活,カツ・い.きる・い.かす・い.ける,lively; resuscitation; being helped; living
原,ゲン・はら,meadow; original; primitive; field; plain; prairie; tundra; wilderness
交,コウ・まじ.わる・まじ.える・ま.じる・まじ.る・ま.ざる・ま.ぜる・~か.う・か.わす・かわ.す・こもごも,mingle; mixing; association; coming & going
組,ソ・く.む・くみ・~ぐみ,association; braid; plait; construct; assemble; unite; cooperate; grapple
引,イン・ひ.く・ひ.き・ひ.き~・~び.き・ひ.ける,pull; tug; jerk; admit; install; quote; refer to
直,チョク・ジキ・ジカ・ただ.ちに・なお.す・~なお.す・なお.る・なお.き・す.ぐ,straightaway; honesty; frankness; fix; repair
番,バン・つが.い,turn; number in a series
声,セイ・ショウ・こえ・こわ~,voice
形,ケイ・ギョウ・かた・~がた・かたち・なり,shape; form; style
頭,トウ・ズ・ト・あたま・かしら・~がしら・かぶり,head; counter for large animals
光,コウ・ひか.る・ひかり,ray; light
科,カ,department; course; section
太,タイ・タ・ふと.い・ふと.る,plump; thick; big around
園,エン・その,park; garden; yard; farm
馬,バ・うま・うま~・ま,horse
顔,ガン・かお,face; expression
船,セン・ふね・ふな~,ship; boat
遠,エン・オン・とお.い,distant; far
絵,カイ・エ,picture; drawing; painting; sketch
晴,セイ・は.れる・は.れ・は.れ~・~ば.れ・は.らす,clear up
雪,セツ・ゆき,snow
鳴,メイ・な.く・な.る・な.らす,chirp; cry; bark; sound; ring; echo; honk
才,サイ,genius; years old; cubic shaku
対,タイ・ツイ・あいて・こた.える・そろ.い・つれあ.い・なら.ぶ・むか.う,vis-a-vis; opposite; even; equal; versus; anti-; compare
部,ブ・~べ,section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine
