爾,ジ・ニ・なんじ・しかり・その・のみ・おれ・しか,you; thou; second person
項,コウ・うなじ,paragraph; nape of neck; clause; item; term (expression)
喪,ソウ・も,miss; mourning
伴,ハン・バン・ともな.う,consort; accompany; bring with; companion
懸,ケン・ケ・か.ける・か.かる,state of suspension; hang; depend; consult; distant; far apart
契,ケイ・ちぎ.る,pledge; promise; vow
掲,ケイ・かか.げる,put up (a notice); put up; hoist; display; hang out; publish; describe
躍,ヤク・おど.る,leap; dance; skip
棄,キ・す.てる,abandon; throw away; discard; resign; reject; sacrifice
邸,テイ・やしき,residence; mansion
還,カン・かえ.る,send back; return
慮,リョ・おもんぱく.る・おもんぱか.る,prudence; thought; concern; consider; deliberate; fear
枠,わく,frame; framework; spindle; spool; bounding-box; (kokuji)
恵,ケイ・エ・めぐ.む・めぐ.み,favor; blessing; grace; kindness
露,ロ・ロウ・つゆ,dew; tears; expose; Russia
沖,チュウ・おき・おきつ・ちゅう.する・わく,open sea; offing; rise high into sky
緩,カン・ゆる.い・ゆる.やか・ゆる.む・ゆる.める,slacken; loosen; relax; lessen; be moderate; ease
需,ジュ,demand; request; need
購,コウ,subscription; buy
充,ジュウ・あ.てる・み.たす,allot; fill
貢,コウ・ク・みつ.ぐ,tribute; support; finance
鹿,ロク・しか・か,deer
却,キャク・かえ.って・しりぞ.く・しりぞ.ける,instead; on the contrary; rather; step back; withdraw; retreat
端,タン・はし・は・はた・~ばた・はな,edge; origin; end; point; border; verge; cape
獲,カク・え.る,seize; get; find; earn; acquire; can; may; able to
併,ヘイ・あわ.せる,join; get together; unite; collective
徹,テツ,penetrate; clear; pierce; strike home; sit up (all night)
衝,ショウ・つ.く,collide; brunt; highway; opposition (astronomy); thrust; pierce; stab; prick
焦,ショウ・こ.げる・こ.がす・こ.がれる・あせ.る,char; hurry; impatient; irritate; burn; scorch; singe
奪,ダツ・うば.う,rob; take by force; snatch away; dispossess; plunder; usurp
浦,ホ・うら,bay; creek; inlet; gulf; beach; seacoast
析,セキ,chop; divide; tear; analyze
譲,ジョウ・ゆず.る,defer; turnover; transfer; convey
称,ショウ・たた.える・とな.える・あ.げる・かな.う・はか.り・はか.る・ほめ.る,appellation; praise; admire; name; title; fame
挑,チョウ・いど.む,challenge; contend for; make love to
誘,ユウ・さそ.う・いざな.う,entice; lead; tempt; invite; ask; call for; seduce; allure
紛,フン・まぎ.れる・~まぎ.れ・まぎ.らす・まぎ.らわす・まぎ.らわしい,distract; be mistaken for; go astray; divert
促,ソク・うなが.す,stimulate; urge; press; demand; incite
慎,シン・つつし.む・つつ.ましい・つつし・つつし.み,humility; be careful; discreet; prudent
控,コウ・ひか.える・ひか.え,withdraw; draw in; hold back; refrain from; be moderate
握,アク・にぎ.る,grip; hold; mould sushi; bribe
俊,シュン,sagacious; genius; excellence
渋,ジュウ・シュウ・しぶ・しぶ.い・しぶ.る,astringent; hesitate; reluctant; have diarrhea
銃,ジュウ・つつ,gun; arms
携,ケイ・たずさ.える・たずさ.わる,portable; carry (in hand); armed with; bring along
診,シン・み.る,checkup; seeing; diagnose; examine
託,タク・かこつ.ける・かこ.つ・かこ.つける,consign; requesting; entrusting with; pretend; hint
撮,サツ・と.る・つま.む・~ど.り,snapshot; take pictures
侵,シン・おか.す,encroach; invade; raid; trespass; violate
括,カツ・くく.る,fasten; tie up; arrest; constrict
駆,ク・か.ける・か.る,drive; run; gallop; advance; inspire; impel
透,トウ・す.く・す.かす・す.ける・とう.る・とう.す,transparent; permeate; filter; penetrate
津,シン・つ,haven; port; harbor; ferry
壁,ヘキ・かべ,wall; lining (stomach); fence
稲,トウ・テ・いね・いな~,rice plant
裂,レツ・さ.く・さ.ける・~ぎ.れ,split; rend; tear
敏,ビン・さとい,cleverness; agile; alert
是,ゼ・シ・これ・この・ここ,just so; this; right; justice
排,ハイ,repudiate; exclude; expel; reject; line up; arrange
裕,ユウ,abundant; rich; fertile
堅,ケン・かた.い・~がた.い,strict; hard; solid; tough; tight; reliable
芝,シ・しば,turf; lawn
綱,コウ・つな,hawser; class (genus); rope; cord; cable
扱,ソウ・キュウ・あつか.い・あつか.う・あつか.る・こ.く,handle; entertain; thresh; strip
顧,コ・かえり.みる,look back; review; examine oneself; turn around
訟,ショウ,sue; accuse
戒,カイ・いまし.める,commandment
祉,シ,welfare; happiness
誉,ヨ・ほま.れ・ほ.める,reputation; praise; honor; glory
歓,カン・よろこ.ぶ,delight; joy
勧,カン・ケン・すす.める,persuade; recommend; advise; encourage; offer
騒,ソウ・さわ.ぐ・うれい・さわ.がしい,boisterous; make noise; clamor; disturb; excite
閥,バツ,clique; lineage; pedigree; faction; clan
甲,コウ・カン・きのえ,armor; high (voice); A grade; first class; former; instep; carapace
縄,ジョウ・なわ・ただ.す,straw rope; cord
揺,ヨウ・ゆ.れる・ゆ.る・ゆ.らぐ・ゆ.るぐ・ゆ.する・ゆ.さぶる・ゆ.すぶる・うご.く,swing; shake; sway; rock; tremble; vibrate
免,メン・まぬか.れる・まぬが.れる,excuse; dismissal
既,キ・すで.に,previously; already; long ago
薦,セン・すす.める,recommend; mat; advise; encourage; offer
隣,リン・とな.る・となり,neighboring
華,カ・ケ・はな,splendor; flower; petal; shine; luster; ostentatious; showy; gay; gorgeous
範,ハン,pattern; example; model
隠,イン・オン・かく.す・かく.し・かく.れる・かか.す・よ.る,conceal; hide; cover
哲,テツ・さとい・あきらか,philosophy; clear
杉,サン・すぎ,cedar; cryptomeria
釈,シャク・セキ・とく・す.てる・ゆる.す,explanation
妥,ダ,gentle; peace; depravity
威,イ・おど.す・おど.し・おど.かす,intimidate; dignity; majesty; menace; threaten
豪,ゴウ・えら.い,overpowering; great; powerful; excelling; Australia
熊,ユウ・くま,bear
滞,タイ・テイ・とどこお.る,stagnate; be delayed; overdue; arrears
微,ビ・かす.か,delicate; minuteness; insignificance
隆,リュウ,hump; high; noble; prosperity
症,ショウ,symptoms; illness
暫,ザン・しばら.く,temporarily; a while; moment; long time
肝,カン・きも,liver; pluck; nerve; chutzpah
喚,カン・わめ.く,yell; cry; call; scream; summon
妙,ミョウ・ビョウ・たえ,exquisite; strange; queer; mystery; miracle; excellent; delicate; charming
索,サク,cord; rope; searching; inquiring
襲,シュウ・おそ.う・かさ.ね,attack; advance on; succeed to; pile; heap
懇,コン・ねんご.ろ,sociable; kind; courteous; hospitable; cordial
柄,ヘイ・がら・え・つか,design; pattern; build; nature; character; handle; crank; grip; knob; shaft
驚,キョウ・おどろ.く・おどろ.かす,wonder; be surprised; frightened; amazed
麻,マ・マア・あさ,hemp; flax; numb
剤,ザイ・スイ・セイ・かる・けず.る,dose; medicine; drug
瀬,ライ・せ,rapids; current; torrent; shallows; shoal
趣,シュ・おもむき・おもむ.く,purport; gist; elegance; interest; proceed to; tend; become
陥,カン・おちい.る・おとしい.れる,collapse; fall into; cave in; fall (castle); slide into
斎,サイ・とき・つつし.む・ものいみ・い.む・いわ.う・いつ.く,purification; Buddhist food; room; worship; avoid; alike
貫,カン・つらぬ.く・ぬ.く・ぬき,pierce; 8 1/3lbs; penetrate; brace
仙,セン・セント,hermit; wizard; cent
慰,イ・なぐさ.める・なぐさ.む,consolation; amusement; seduce; cheer; make sport of; comfort; console
旬,ジュン・シュン,decameron; ten-day period; season (for specific products)
兼,ケン・か.ねる・~か.ねる,concurrently; and; beforehand; in advance
旨,シ・むね・うま.い,delicious; relish; show a liking for; purport; will; clever; expert
即,ソク・つ.く・つ.ける・すなわ.ち,instant; namely; as is; conform; agree; adapt
柳,リュウ・やなぎ,willow
偽,ギ・カ・いつわ.る・にせ・いつわ.り,falsehood; lie; deceive; pretend; counterfeit; forgery
較,カク・コウ・くら.べる,contrast; compare
覇,ハ・ハク・はたがしら,hegemony; supremacy; leadership; champion
詳,ショウ・くわ.しい・つまび.らか,detailed; full; minute; accurate; well-informed
抵,テイ,resist; reach; touch
脅,キョウ・おびや.かす・おど.す・おど.かす,threaten; coerce
茂,モ・しげ.る,overgrown; grow thick; be luxuriant
犠,ギ・キ・いけにえ,sacrifice
距,キョ・へだ.たる・けづめ,long-distance; spur; fetlock
雅,ガ・みや.び,gracious; elegant; graceful; refined
飾,ショク・かざ.る・かざ.り,decorate; ornament; adorn; embellish
網,モウ・あみ,netting; network
竜,リュウ・リョウ・ロウ・たつ・いせ,dragon; imperial
繁,ハン・しげ.る・しげ.く,luxuriant; thick; overgrown; frequency; complexity; trouble
翼,ヨク・つばさ,wing; plane; flank
潟,セキ・かた・~がた,lagoon
魅,ミ,fascination; charm; bewitch
嫌,ケン・ゲン・きら.う・きら.い・いや,dislike; detest; hate
斉,セイ・サイ・そろ.う・ひと.しい・ひと.しく・あたる・はやい,adjusted; alike; equal; similar variety of
敷,フ・し.く・~し.き,spread; pave; sit; promulgate
擁,ヨウ,hug; embrace; possess; protect; lead
圏,ケン・かこ.い,sphere; circle; radius; range
罰,バツ・バチ・ハツ・ばっ.する,penalty; punishment
滅,メツ・ほろ.びる・ほろ.ぶ・ほろ.ぼす,destroy; ruin; overthrow; perish
礎,ソ・いしずえ,cornerstone; foundation stone
腐,フ・くさ.る・~くさ.る・くさ.れる・くさ.れ・くさ.らす・くさ.す,rot; decay; sour
脚,キャク・キャ・カク・あし,skids; leg; undercarriage; lower part; base
昭,ショウ,shining; bright
級,キュウ,class; rank; grade
詩,シ・うた,poem; poetry
丁,チョウ・テイ・チン・トウ・チ・ひのと,"street; ward; town; counter for guns, tools, leaves or cakes of something; even number; 4th calendar sign"
豆,トウ・ズ・まめ・まめ~,beans; pea; midget
暑,ショ・あつ.い,sultry; hot; summer heat
帳,チョウ・とばり,notebook; account book; album; curtain; veil; net; tent
羊,ヨウ・ひつじ,sheep
笛,テキ・ふえ,flute; clarinet; pipe; whistle; bagpipe; piccolo
氏,シ・うじ・~うじ,family name; surname; clan
結,ケツ・ケチ・むす.ぶ・ゆ.う・ゆ.わえる,tie; bind; contract; join; organize; do up hair; fasten
案,アン・つくえ,plan; suggestion; draft; ponder; fear; proposition; idea; expectation; worry; table; bench
挙,キョ・あ.げる・あ.がる・こぞ.る,raise; plan; project; behavior; actions
松,ショウ・まつ,pine tree
票,ヒョウ,ballot; label; ticket; sign
器,キ・うつわ,utensil; vessel; receptacle; implement; instrument; ability; container; tool; set
士,シ・さむらい,gentleman; scholar; samurai; samurai radical (no. 33)
健,ケン・すこ.やか,healthy; health; strength; persistence
隊,タイ,regiment; party; company; squad
標,ヒョウ・しるべ・しるし,signpost; seal; mark; stamp; imprint; symbol; emblem; trademark; evidence; souvenir; target
司,シ・つかさど.る,director; official; govt office; rule; administer
康,コウ,ease; peace
紀,キ,chronicle; account; narrative; history; annals; geologic period
博,ハク・バク,Dr.; command; esteem; win acclaim; Ph.D.; exposition; fair
救,キュウ・すく.う,salvation; save; help; rescue; reclaim
功,コウ・ク・いさお,achievement; merits; success; honor; credit
養,ヨウ・リョウ・やしな.う,foster; bring up; rear; develop; nurture
街,ガイ・カイ・まち,boulevard; street; town
節,セツ・セチ・ふし・~ぶし・のっと,node; season; period; occasion; verse; clause; stanza; honor; joint; knuckle; knob; knot; tune; melody
郡,グン・こおり,county; district
典,テン・デン,code; ceremony; law; rule
倉,ソウ・くら,godown; warehouse; storehouse; cellar; treasury
唱,ショウ・とな.える,chant; recite; call upon; yell
旗,キ・はた,national flag; banner; standard
梅,バイ・うめ,plum
牧,ボク・まき,breed; care for; shepherd; feed; pasture
泣,キュウ・な.く,cry; weep; moan
径,ケイ・みち・こみち・さしわたし・ただちに,diameter; path; method
脈,ミャク・すじ,vein; pulse; hope
鏡,キョウ・ケイ・かがみ,mirror; speculum; barrel-head; round rice-cake offering
巣,ソウ・す・す.くう,nest; rookery; hive; cobweb; den
芽,ガ・め,bud; sprout; spear; germ
腸,チョウ・はらわた・わた,intestines; guts; bowels; viscera
統,トウ・す.べる・ほび.る,overall; relationship; ruling; governing
保,ホ・ホウ・たも.つ,protect; guarantee; keep; preserve; sustain; support
基,キ・もと・もとい,fundamentals; radical (chem); counter for machines; foundation
価,カ・ケ・あたい,value; price
提,テイ・チョウ・ダイ・さ.げる,propose; take along; carry in hand
応,オウ・ヨウ・~ノウ・あた.る・まさに・こた.える,apply; answer; yes; OK; reply; accept
検,ケン・しら.べる,examination; investigate
証,ショウ・あかし,evidence; proof; certificate
護,ゴ・まも.る,safeguard; protect
態,タイ・わざ.と,attitude; condition; figure; appearance; voice (of verbs)
条,ジョウ・チョウ・デキ・えだ・すじ,article; clause; item; stripe; streak
幹,カン・みき,tree trunk; main part; talent; capability
独,ドク・トク・ひと.り,single; alone; spontaneously; Germany
率,ソツ・リツ・シュツ・ひき.いる,ratio; rate; proportion; %; factor; lead; spearhead; command
衛,エイ・エ,defense; protection
張,チョウ・は.る・~は.り・~ば.り,lengthen; counter for bows & stringed instruments; stretch; spread; put up (tent)
義,ギ,righteousness; justice; morality; honor; loyalty; meaning
評,ヒョウ,evaluate; criticism; comment
製,セイ,made in...; manufacture
授,ジュ・さず.ける・さず.かる,impart; instruct; grant; confer
修,シュウ・シュ・おさ.める・おさ.まる,discipline; conduct oneself well; study; master
織,ショク・シキ・お.る・お.り・おり・~おり・~お.り,weave; fabric
故,コ・ゆえ・ふる.い・もと,happenstance; especially; intentionally; reason; cause; circumstances; the late; therefore; consequently
弁,ベン・ヘン・かんむり・わきま.える・わ.ける・はなびら・あらそ.う,valve; petal; braid; speech; dialect; discrimination; dispose of; distinguish; conical cap
素,ソ・ス・もと,elementary; principle; naked; uncovered
益,エキ・ヤク・ま.す,benefit; gain; profit; advantage
興,コウ・キョウ・おこ.る・おこ.す,entertain; revive; retrieve; interest; pleasure
志,シ・シリング・こころざ.す・こころざし,intention; plan; resolve; aspire; motive; hopes; shilling
属,ゾク・ショク・さかん・つく・やから,belong; genus; subordinate official; affiliated
災,サイ・わざわ.い,disaster; calamity; woe; curse; evil
銭,セン・ゼン・ぜに・すき,coin; .01 yen; money
謝,シャ・あやま.る,apologize; thank; refuse
仮,カ・ケ・かり・かり~,sham; temporary; interim; assumed (name); informal
賀,ガ,congratulations; joy
徳,トク,benevolence; virtue; goodness; commanding respect
序,ジョ・つい.で・ついで,preface; beginning; order; precedence; occasion; chance; incidentally
舎,シャ・セキ・やど.る,cottage; inn; hut; house; mansion
敵,テキ・かたき・あだ・かな.う,enemy; foe; opponent
酸,サン・す.い,acid; bitterness; sour; tart
桜,オウ・ヨウ・さくら,cherry
句,ク,phrase; clause; sentence; passage; paragraph; counter for haiku
墓,ボ・はか,grave; tomb
飼,シ・か.う,domesticate; raise; keep; feed
恩,オン,grace; kindness; goodness; favor; mercy; blessing; benefit
往,オウ・い.く・いにしえ・さき.に・ゆ.く,journey; travel; chase away; let go; going; before; formerly
肥,ヒ・こ.える・こえ・こ.やす・こ.やし・ふと.る,fertilizer; get fat; fertile; manure; pamper
俵,ヒョウ・たわら,bag; bale; sack; counter for bags
眼,ガン・ゲン・まなこ・め,eyeball
潔,ケツ・いさぎよ.い,undefiled; pure; clean; righteous; gallant
舌,ゼツ・した,tongue; reed; clapper
派,ハ,faction; group; party; clique; sect; school
策,サク,scheme; plan; policy; step; means
矢,シ・や,dart; arrow
刀,トウ・かたな・そり,sword; saber; knife
弓,キュウ・ゆみ,"bow; bow (archery, violin)"
汽,キ,vapor; steam
第,ダイ・テイ,No.; residence
宮,キュウ・グウ・ク・クウ・みや,Shinto shrine; constellations; palace; princess
整,セイ・ととの.える・ととの.う,organize; arranging; tune; tone; meter; key (music)
