爾,ジ・ニ・なんじ・しかり・その・のみ・おれ・しか,you; thou; second person
佑,ユウ・ウ・たす.ける,help; assist
耀,ヨウ・かがや.く・ひかり,shine; sparkle; gleam; twinkle
黛,タイ・まゆずみ,blackened eyebrows
渥,アク・あつ.い・うるお.う,kindness; moisten
惇,シュン・ジュン・トン・あつ.い,sincere; kind; considerate
脩,シュウ・おさ.める・なが.い・ほじし,dried meat
甫,ホ・フ・はじ.めて,for the first time; not until
嬉,キ・うれ.しい・たの.しむ,glad; pleased; rejoice
蒼,ソウ・あお.い,blue; pale
暉,キ・かが.やく,shine; light
只,シ・ただ,only; free; in addition
檀,ダン・タン・まゆみ,cedar; sandlewood; spindle tree
凱,ガイ・カイ・かちどき・やわらぐ,victory song
彗,スイ・エ・ケイ・セイ・ほうき,comet
梓,シ・あずさ,catalpa tree; woodblock printing
丑,チュウ・うし,sign of the ox or cow; 1-3AM; second sign of Chinese zodiac
叶,キョウ・かな.える・かな.う,grant; answer
汐,セキ・しお・うしお・せい,eventide; tide; salt water; opportunity
絢,ケン,brilliant fabric design
朔,サク・ついたち,conjunction (astronomy); first day of month; north
伽,カ・ガ・キャ・ギャ・とぎ,nursing; attending; entertainer
黎,レイ・リ・くろ.い,dark; black; many
冴,ゴ・コ・さ.える・こお.る・ひ.える,be clear; serene; cold; skilful
萌,ホウ・も.える・きざ.す・めばえ・きざ.し,show symptoms of; sprout; bud; malt
偲,サイ・シ・しの.ぶ,recollect; remember
允,イン・じょう・まこと.に・ゆるす,license; sincerity; permit
蒔,シ・ジ・う.える・ま.く,sow (seeds)
鯉,リ・こい,carp
遥,ヨウ・はる.か,far off; distant; long ago
舜,シュン,type of morning glory; rose of Sharon; althea
瑛,エイ,sparkle of jewelry; crystal
彪,ヒョウ・ヒュウ・あや,spotted; mottled; patterned; small tiger
卯,ボウ・モウ・う,sign of the hare or rabbit; fourth sign of Chinese zodiac; 5-7AM; east
綺,キ・あや,figured cloth; beautiful
茜,セン・あかね,madder; red dye; Turkey red
凌,リョウ・しの.ぐ,endure; keep (rain)out; stave off; tide over; defy; slight; surpass
皓,コウ・しろ.い・ひか.る,white; clear
洸,コウ,sparkling water
毬,キュウ・いが・まり,burr; ball
緋,ヒ・あけ・あか,scarlet; cardinal
鯛,チョウ・たい,sea bream; red snapper
怜,レイ・レン・リョウ・あわ.れむ・さと.い,wise
邑,ユウ・むら,village; rural community; right village radical (no. 163)
碧,ヘキ・ヒャク,blue; green
啄,タク・ツク・トク・ついば.む・つつ.く,peck; pick up
穣,ジョウ・わら・ゆたか,good crops; prosperity; 10**28
酉,ユウ・とり,west; bird; sign of the bird; 5-7PM; tenth sign of Chinese zodiac; sake radical (no. 164)
悌,テイ・ダイ,serving our elders
柚,ユ・ユウ・ジク・ゆず,citron
亥,ガイ・カイ・い,sign of the hog; 9-11PM; twelfth sign of the Chinese zodiac
胤,イン・たね,descendent; issue; offspring
叡,エイ・あき.らか,intelligence; imperial
茄,カ,eggplant
侃,カン・つよ.い,strong; just; righteous; peace-loving
莞,カン・い,smiling; reed used to cover tatami
誼,ギ・よしみ・よい,friendship; intimacy
鞠,キク・キュウ・まり,ball
衿,キン・コン・えり,neck; collar; lapel
玖,キュウ・ク,beautiful black jewel; nine
袈,ケ・カ,a coarse camlet
絃,ゲン・いと,string; cord; samisen music
梧,ゴ・あおぎり,Chinese parasol tree; phoenix tree
瑚,コ・ゴ,ancestral offering receptacle; coral
倖,コウ・しあわ.せ・さいわ.い,happiness; luck
昂,コウ・ゴウ・あ.がる・たか.い・たか.ぶる,rise
瑳,サ・みが.く,polish; brilliant white luster of a gem; artful smile
裟,サ・シャ,Buddhist surplice
哉,サイ・かな・や,how; what; alas; question mark; exclamation mark
燦,サン・さん.たる・あき.らか・きらめ.く・きら.めく,brilliant
尽,ジン・サン・つ.くす・~つ.くす・~づ.くし・~つ.く・~づ.く・~ず.く・つ.きる・つ.かす・さかづき・ことごと.く・つか・つき,exhaust; use up; run out of; deplete; befriend; serve
僕,ボク・しもべ,me; I (male); servant; manservant
滑,カツ・コツ・すべ.る・なめ.らか,slippery; slide; slip; flunk
孤,コ,orphan; alone
炎,エン・ほのお,inflammation; flame; blaze
賠,バイ,compensation; indemnify
頑,ガン・かたく,stubborn; foolish; firmly
鎖,サ・くさり・とざ.す,chain; irons; connection
彩,サイ・いろど.る,coloring; paint; makeup
摩,マ・ま.する・さす.る・す.る,chafe; rub; polish; grind; scrape
励,レイ・はげ.む・はげ.ます,encourage; be diligent; inspire
輝,キ・かがや.く,radiance; shine; sparkle; gleam; twinkle
蓄,チク・たくわ.える,amass; raise; hoard; store
軸,ジク,axis; pivot; stem; stalk; counter for book scrolls
巡,ジュン・めぐ.る・めぐ.り,patrol; go around; circumference
稼,カ・かせ.ぐ,earnings; work; earn money
瞬,シュン・またた.く・まじろ.ぐ,wink; blink; twinkle
砲,ホウ,cannon; gun
噴,フン・ふ.く,erupt; spout; emit; flush out
誇,コ・ほこ.る,boast; be proud; pride; triumphantly
祥,ショウ・さいわ.い・きざ.し・よ.い・つまび.らか,auspicious; happiness; blessedness; good omen; good fortune
牲,セイ,animal sacrifice; offering
秩,チツ,regularity; salary; order
帝,テイ・みかど,sovereign; the emperor; god; creator
唆,サ・そそ.る・そそのか.す,tempt; seduce; instigate; promote
阻,ソ・はば.む,thwart; separate from; prevent; obstruct; deter; impede
泰,タイ,peaceful; calm; peace; easy; Thailand; extreme; excessive; great
賄,ワイ・まかな.う,bribe; board; supply; finance
撲,ボク,slap; strike; hit; beat; tell; speak
堀,クツ・ほり,ditch; moat; canal
菊,キク,chrysanthemum
